name;semester_number
Operating Systems Concepts;7
Embedded Systems Programming;7
Cloud Infrastructure Management;12
Cloud Security and Compliance;6
Network Protocol Analysis;4
Social Engineering Awareness;11
Cloud Data Storage Solutions;9
Microservices Architecture;3
Data Science and Predictive Analytics;10
Network Security Principles;3
Software Project Management;9
Continuous Integration and Deployment (CI/CD);7
Cryptography and Network Security;12
Malware Analysis and Reverse Engineering;9
Object-Oriented Programming;10
Information Retrieval Techniques;5
Full-Stack Web Development;3
Advanced Topics in Quantum Computing;3
Distributed Systems Architecture;5
Secure Software Development;8
Wireless Networking Technologies;5
Advanced Topics in Artificial Intelligence;7
Embedded Systems Design;3
Computer-Aided Manufacturing (CAM);11
Distributed Ledger Technologies;10
Introduction to Artificial Intelligence;8
Network Traffic Analysis;8
Enterprise Resource Planning (ERP) Systems;3
Cloud-Native Application Development;11
Software Engineering Principles;12
Programming Fundamentals;8
Information Security Management;12
Server-Side Web Development;11
Blockchain-Based Smart Contracts;6
Real-Time Operating Systems;3
Big Data Technologies;4
Cybersecurity Essentials;11
Game Design and Development;3
Internet Security Protocols;12
Advanced Data Structures;5
Responsive Web Design;9
Software Testing and Quality Assurance;7
Microcontroller Programming;5
Computer Vision and Image Processing;9
Robotics and Automation;5
Virtualization Technologies;5
Software Architecture Design;3
Object-Oriented Analysis and Design;12
Mobile Application Development;9
Natural Language Generation;4
Cloud Service Models and Deployment;6
Web Design and Development;11
Quantum Computing Concepts;9
Natural Language Processing;9
Advanced Human-Computer Interaction;8
DevOps Principles and Practices;3
Data Analytics and Visualization;3
Machine Learning for Cybersecurity;12
Front-End Frameworks and Libraries;10
Network Fundamentals;4
Computer Organization and Architecture;10
Linux System Administration;11
Web Application Security;4
Data Privacy and Compliance;9
Introduction to Computer Science;8
Relational Database Design;10
Advanced Machine Learning Algorithms;9
Mobile Device Management;7
Cyber Threat Intelligence;11
Internet of Things (IoT) Applications;6
Advanced Database Management;9
Human-Computer Interaction;5
Secure Coding Practices;10
Information Security Risk Management;6
Ethical Hacking and Penetration Testing;12
Digital Forensics Investigation;9
Cloud Computing Fundamentals;3
Blockchain Technology Fundamentals;5
Cryptographic Protocols;4
Network Penetration Testing;9
Computer Graphics and Visualization;3
Mobile Game Development;5
Agile Software Development;7
Data Mining Techniques;11
Database Management Systems;5
Cloud Application Development;10
Web Development Basics;4
Cryptocurrency and Blockchain Applications;8
Augmented Reality Applications;3
Computer-Assisted Design (CAD);11
User Experience Design;4
Advanced Web Security Techniques;5
Introduction to Machine Learning;12
Reactive Programming;4
Natural User Interfaces;10
Mobile Cloud Computing;11
Data Warehousing and Business Intelligence;6
Enterprise Software Integration;5
Virtual Reality Development;4
Data Structures and Algorithms;4