student_id;course_id;text
60;21;Great professors who truly care about student success.
80;55;Excellent campus facilities and resources.
13;24;Engaging and interactive classes.
49;48;Wide variety of clubs and extracurricular activities.
2;75;Accessible counseling and support services.
18;59;Diverse and inclusive student body.
58;43;Opportunities for hands-on learning experiences.
92;17;Inspiring guest speakers and events.
67;47;Convenient location with easy access to transportation.
24;45;Innovative use of technology in education.
81;69;Strong emphasis on career readiness.
26;32;Friendly and welcoming campus atmosphere.
48;86;Flexible class schedules to accommodate different needs.
61;79;Opportunities for internships and real-world experience.
69;50;Supportive and knowledgeable academic advisors.
79;46;Robust online learning platform.
63;71;Safe and secure campus environment.
61;6;Plenty of dining options and food choices.
41;29;Active and engaged student government.
100;75;Well-maintained campus grounds and facilities.
44;60;Encouraging and supportive faculty members.
71;36;Opportunities for undergraduate research.
18;45;Eco-friendly initiatives and sustainability efforts.
5;58;Convenient on-campus housing options.
84;11;Great networking opportunities with alumni.
90;83;Excellent library resources and services.
16;36;Opportunities for study abroad programs.
78;20;Opportunities for community service and volunteerism.
81;83;Accessible disability services and accommodations.
97;100;Fun and exciting campus events.
82;43;Engaging and thought-provoking class discussions.
86;63;Encouragement of creativity and innovation.
57;99;Opportunities for leadership development.
60;3;Well-organized and informative orientation programs.
42;43;Responsive and helpful administrative staff.
80;36;Opportunities for interdisciplinary collaboration.
40;84;Strong alumni network for career support.
88;56;Encouragement of critical thinking skills.
39;17;Opportunities for undergraduate research.
84;19;Supportive and collaborative learning environment.
34;10;Effective use of experiential learning opportunities.
95;89;Encouragement of global perspectives and cultural diversity.
25;38;Convenient access to academic resources.
60;45;Opportunities for industry partnerships and internships.
6;24;Encouragement of teamwork and collaboration.
23;60;Emphasis on personal growth and development.
24;13;Opportunities for mentorship from faculty.
25;16;Opportunities for leadership roles in student organizations.
58;58;Engaging and challenging coursework.
30;21;Opportunities for independent study projects.
44;78;Clear and transparent grading criteria.
93;39;Opportunities for peer tutoring and academic support.
97;93;Strong focus on undergraduate research opportunities.
34;62;Opportunities for interdisciplinary study.
38;33;Encouragement of curiosity and intellectual exploration.
36;64;Opportunities for field trips and off-campus learning.
38;32;Effective use of multimedia and technology in teaching.
6;93;Innovative approaches to problem-solving.
84;84;Opportunities for professional development workshops.
62;45;Encouragement of student leadership and initiative.
66;61;Opportunities for community engagement and service learning.
9;95;Effective communication with faculty and staff.
54;51;Opportunities for networking with professionals in the field.
20;74;Encouragement of time management and organizational skills.
65;23;Opportunities for career exploration and guidance.
6;39;Effective advising and course selection assistance.
25;28;Opportunities for undergraduate research funding.
25;54;Encouragement of active participation in class discussions.
55;21;Opportunities for peer mentoring and support.
24;54;Effective use of group projects and collaborative learning.
96;12;Opportunities for study groups and peer tutoring.
35;57;Encouragement of creative thinking and problem-solving.
27;92;Opportunities for academic recognition and awards.
59;32;Effective use of multimedia and interactive learning resources.
55;59;Opportunities for extracurricular involvement and leadership.
93;12;Encouragement of lifelong learning and personal growth.
58;72;Opportunities for career-related workshops and seminars.
83;2;Effective use of experiential learning opportunities.
45;94;Opportunities for study abroad and international experiences.
21;95;Encouragement of self-reflection and self-improvement.
11;4;Opportunities for hands-on learning and real-world experience.
23;62;Effective use of technology in teaching and learning.
86;71;Opportunities for professional development and networking.
45;100;Encouragement of collaboration and teamwork.
100;30;Opportunities for internships and co-op programs.
70;68;Effective communication with faculty and staff.
19;59;Opportunities for research and publication.
91;62;Encouragement of critical thinking and problem-solving skills.
83;19;Opportunities for mentorship and guidance.
10;72;Effective use of feedback to enhance learning.
33;24;Opportunities for academic support and tutoring.
96;56;Encouragement of creativity and innovation.
32;77;Opportunities for leadership development and training.
57;47;Effective use of hands-on projects and case studies.
80;95;Opportunities for community engagement and service.
64;34;Encouragement of lifelong learning and personal development.
95;46;Opportunities for networking and professional connections.
93;97;Effective use of guest speakers and industry experts.
25;10;Opportunities for interdisciplinary collaboration and research.
87;30;Encouragement of intellectual